Rank,Name,p/g,r/g,a/g,fg%,ft%
1,Nikola Jokic,26.4,10.8,8.3,0.57,0.87
2,Stephen Curry,32.0,5.5,5.8,0.48,0.92
3,Damian Lillard,28.7,4.2,7.5,0.45,0.93
4,Nikola Vucevic,23.4,11.7,3.8,0.48,0.84
5,Chris Paul,16.4,4.4,8.9,0.50,0.93
6,Kyrie Irving,26.9,4.8,6.0,0.51,0.92
7,Rudy Gobert,14.3,13.6,1.3,0.68,0.62
8,Jayson Tatum,26.4,7.4,4.3,0.46,0.87
9,Kawhi Leonard,24.8,6.5,5.2,0.51,0.88
10,Jimmy Butler,21.5,6.9,7.1,0.50,0.86
11,Mikal Bridges,13.5,4.3,2.1,0.54,0.84
12,Bam Adebayo,18.7,9.0,5.4,0.57,0.80
13,Bradley Beal,31.3,4.7,4.4,0.48,0.89
14,Joel Embiid,28.5,10.5,2.8,0.51,0.86
15,Giannis Antetokounmpo,28.1,11.0,5.9,0.57,0.69
16,Julius Randle,24.1,10.2,6.0,0.46,0.81
17,Terry Rozier,20.4,4.4,4.2,0.45,0.82
18,Khris Middleton,20.4,6.0,5.4,0.48,0.90
19,Deandre Ayton,14.4,10.5,1.4,0.63,0.77
20,Robert Covington,8.5,6.7,1.7,0.40,0.81
21,Clint Capela,15.2,14.3,0.8,0.59,0.57
22,Tobias Harris,19.5,6.8,3.5,0.51,0.89
23,Jrue Holiday,17.7,4.5,6.1,0.50,0.79
24,Domantas Sabonis,20.3,12.0,6.7,0.54,0.73
25,Michael Porter Jr.,19.0,7.3,1.1,0.54,0.79
26,Luka Doncic,27.7,8.0,8.6,0.48,0.73
27,Jonas Valanciunas,17.1,12.5,1.8,0.59,0.77
28,Kelly Olynyk,13.5,7.0,2.9,0.48,0.83
29,Zach LaVine,27.4,5.0,4.9,0.51,0.85
30,Richaun Holmes,14.2,8.3,1.7,0.64,0.79
31,Kyle Anderson,12.4,5.7,3.6,0.47,0.78
32,Karl-Anthony Towns,24.8,10.6,4.5,0.49,0.86
33,T.J. McConnell,8.6,3.7,6.6,0.56,0.69
34,John Collins,17.6,7.4,1.2,0.56,0.83
35,Fred VanVleet,19.6,4.2,6.3,0.39,0.88
36,DeMar DeRozan,21.6,4.2,6.9,0.49,0.88
37,Norman Powell,18.6,3.1,1.9,0.48,0.87
38,Trae Young,25.3,3.9,9.4,0.44,0.89
39,Dejounte Murray,15.7,7.1,5.4,0.45,0.79
40,James Harden,24.6,7.9,10.8,0.47,0.86
41,Buddy Hield,16.6,4.7,3.6,0.41,0.85
42,Chris Boucher,13.6,6.7,1.1,0.51,0.79
43,Draymond Green,7.0,7.1,8.9,0.45,0.80
44,Brandon Ingram,23.8,4.9,4.9,0.47,0.88
45,Paul George,23.3,6.6,5.2,0.47,0.87
46,Brook Lopez,12.3,5.0,0.7,0.50,0.85
47,Jaylen Brown,24.7,6.0,3.4,0.48,0.76
48,Andrew Wiggins,18.6,4.9,2.4,0.48,0.71
49,Devin Booker,25.6,4.2,4.3,0.48,0.87
50,Enes Kanter,11.2,11.0,1.2,0.60,0.77
51,Nerlens Noel,5.1,6.4,0.7,0.61,0.71
52,Danny Green,9.5,3.8,1.7,0.41,0.78
53,Myles Turner,12.6,6.5,1.0,0.48,0.78
54,Pascal Siakam,21.4,7.2,4.5,0.45,0.83
55,Zion Williamson,27.0,7.2,3.7,0.61,0.70
56,Joe Harris,14.1,3.6,1.9,0.50,0.78
57,Malcolm Brogdon,21.2,5.3,5.9,0.45,0.86
58,Delon Wright,10.2,4.3,4.4,0.46,0.80
59,Jakob Poeltl,8.6,8.0,1.9,0.61,0.51
60,Lonzo Ball,14.6,4.8,5.7,0.41,0.78
61,Tyrese Haliburton,13.0,3.0,5.3,0.47,0.86
62,Miles Bridges,12.7,6.0,2.2,0.50,0.87
63,Russell Westbrook,22.2,11.5,11.7,0.44,0.66
64,PJ Washington,12.9,6.5,2.5,0.44,0.74
65,Justin Holiday,10.5,3.6,1.7,0.41,0.79
66,Donovan Mitchell,26.4,4.4,5.2,0.44,0.84
67,Jordan Clarkson,18.4,4.0,2.5,0.43,0.90
68,Anthony Edwards,19.3,4.7,2.9,0.42,0.78
69,Jarrett Allen,12.8,10.0,1.7,0.62,0.70
70,De'Aaron Fox,25.2,3.5,7.2,0.48,0.72
71,Thaddeus Young,12.1,6.2,4.3,0.56,0.63
72,Kevin Huerter,11.9,3.3,3.5,0.43,0.78
73,Nicolas Batum,8.1,4.7,2.2,0.46,0.83
74,Jae'Sean Tate,11.3,5.3,2.5,0.50,0.69
75,Jamal Murray,21.2,4.0,4.8,0.48,0.87
76,Joe Ingles,12.1,3.6,4.8,0.49,0.84
77,C.J. McCollum,23.1,3.9,4.7,0.46,0.81
78,Duncan Robinson,13.1,3.5,1.8,0.44,0.83
79,Bobby Portis,11.4,7.1,1.1,0.52,0.74
80,Ricky Rubio,8.6,3.3,6.4,0.39,0.87
81,Royce O'Neale,7.0,6.8,2.5,0.44,0.85
82,Mike Conley,16.2,3.5,6.0,0.44,0.85
83,Harrison Barnes,16.1,6.6,3.5,0.50,0.83
84,Kevin Durant,26.9,7.1,5.5,0.54,0.88
85,Robert Williams,8.0,6.9,1.8,0.72,0.62
86,Montrezl Harrell,13.5,6.2,1.1,0.62,0.71
87,Kristaps Porzingis,20.1,8.9,1.6,0.48,0.86
88,Ivica Zubac,9.0,7.2,1.3,0.65,0.79
89,Bojan Bogdanovic,17.0,3.9,1.9,0.44,0.88
90,Collin Sexton,24.3,3.1,4.4,0.48,0.81
91,Jerami Grant,22.3,4.6,2.8,0.43,0.85
92,Tim Hardaway Jr.,16.6,3.3,1.8,0.45,0.82
93,Donte DiVincenzo,10.4,5.8,3.1,0.42,0.72
94,Isaiah Stewart,7.9,6.7,0.9,0.55,0.70
95,Matisse Thybulle,3.9,1.9,1.0,0.42,0.44
96,LeBron James,25.0,7.7,7.8,0.51,0.70
97,Carmelo Anthony,13.4,3.1,1.5,0.42,0.89
98,Saddiq Bey,12.2,4.6,1.4,0.40,0.84
99,Caris LeVert,20.2,4.6,5.2,0.44,0.81
100,Brandon Clarke,10.3,5.6,1.6,0.52,0.69
101,LaMelo Ball,15.8,5.9,6.1,0.44,0.76
102,Kyle Lowry,17.2,5.3,7.3,0.44,0.88
103,Dorian Finney-Smith,9.8,5.4,1.7,0.47,0.76
104,Ben Simmons,14.3,7.2,6.9,0.56,0.61
105,Reggie Bullock,10.9,3.4,1.5,0.44,0.91
106,Dillon Brooks,17.2,2.9,2.3,0.42,0.82
107,Kendrick Nunn,14.6,3.2,2.6,0.48,0.93
108,O.G. Anunoby,15.9,5.5,2.2,0.48,0.78
109,Bogdan Bogdanovic,16.4,3.6,3.3,0.47,0.91
110,Gordon Hayward,19.6,5.8,4.1,0.47,0.84
111,R.J. Barrett,17.6,5.8,3.0,0.44,0.75
112,Coby White,15.1,4.1,4.8,0.42,0.90
113,Mason Plumlee,10.4,9.3,3.6,0.62,0.67
114,Naz Reid,11.2,4.6,1.0,0.52,0.69
115,Daniel Theis,9.6,5.5,1.7,0.54,0.67
116,Dennis Schroder,15.4,3.5,5.8,0.44,0.85
117,Kentavious Caldwell-Pope,9.7,2.7,1.9,0.43,0.87
118,Bruce Brown,8.8,5.4,1.6,0.56,0.74
119,Jae Crowder,10.1,4.7,2.1,0.40,0.76
120,Josh Richardson,12.1,3.3,2.6,0.43,0.92
121,Kemba Walker,19.3,4.0,4.9,0.42,0.90
122,Jeff Green,11.0,3.9,1.6,0.49,0.78
123,Jalen Brunson,12.6,3.4,3.5,0.52,0.79
124,Kyle Kuzma,12.9,6.2,1.9,0.44,0.69
125,Patrick Williams,9.2,4.6,1.4,0.48,0.73
126,Devonte' Graham,14.8,2.7,5.4,0.38,0.84
127,Rudy Gay,11.4,4.8,1.4,0.42,0.80
128,Derrick Favors,5.4,5.5,0.6,0.64,0.74
129,Raul Neto,8.7,2.4,2.3,0.47,0.88
130,Kelly Oubre,15.4,6.0,1.3,0.44,0.69
131,Marcus Smart,13.1,3.5,5.7,0.40,0.79
132,Pat Connaughton,6.8,4.8,1.2,0.43,0.78
133,Darius Garland,17.4,2.4,6.1,0.45,0.85
134,Keldon Johnson,12.8,6.0,1.8,0.48,0.74
135,Anthony Davis,21.8,7.9,3.1,0.49,0.74
136,Doug McDermott,13.6,3.3,1.3,0.53,0.82
137,Seth Curry,12.5,2.4,2.7,0.47,0.90
138,Khem Birch,7.2,5.7,1.3,0.50,0.71
139,Facundo Campazzo,6.1,2.0,3.6,0.38,0.88
140,Gary Trent Jr.,15.3,2.6,1.4,0.41,0.78
141,Marcus Morris,13.4,4.1,1.0,0.47,0.82
142,Desmond Bane,9.2,3.1,1.7,0.47,0.82
143,Reggie Jackson,10.7,2.9,3.1,0.45,0.82
144,Christian Wood,21.0,9.6,1.7,0.51,0.63
145,Danilo Gallinari,13.3,4.2,1.5,0.43,0.93
146,Derrick Rose,14.7,2.6,4.2,0.47,0.87
147,Jarred Vanderbilt,5.4,5.8,1.2,0.61,0.56
148,Kent Bazemore,7.2,3.4,1.6,0.45,0.69
149,De'Anthony Melton,9.1,3.1,2.5,0.44,0.80
150,Eric Bledsoe,12.2,3.4,3.8,0.42,0.69
151,Tyus Jones,6.3,2.0,3.7,0.43,0.91
152,Davis Bertans,11.5,3.0,0.9,0.40,0.87
153,Evan Fournier,17.1,3.0,3.4,0.46,0.79
154,Kenrich Williams,8.0,4.1,2.3,0.53,0.57
155,Patty Mills,10.8,1.7,2.4,0.41,0.91
156,Cory Joseph,8.2,2.5,3.4,0.47,0.82
157,Paul Millsap,9.0,4.7,1.8,0.48,0.72
158,Will Barton,12.7,4.0,3.2,0.43,0.79
159,Wendell Carter Jr.,11.2,8.2,1.9,0.50,0.73
160,Lauri Markkanen,13.6,5.3,0.9,0.48,0.83
161,Tyler Herro,15.1,4.9,3.4,0.44,0.80
162,Ja Morant,19.1,4.0,7.4,0.45,0.73
163,Cameron Payne,8.4,2.4,3.6,0.48,0.89
164,Shai Gilgeous-Alexander,23.7,4.8,5.9,0.51,0.81
165,Jaden McDaniels,6.8,3.7,1.1,0.45,0.60
166,Cameron Johnson,9.6,3.3,1.4,0.42,0.85
167,Andre Drummond,14.9,12.0,2.0,0.49,0.60
168,Rui Hachimura,13.8,5.5,1.4,0.48,0.77
169,Grayson Allen,10.6,3.2,2.2,0.42,0.87
170,Terrence Ross,15.6,3.5,2.4,0.41,0.87
171,Alec Burks,12.7,4.6,2.2,0.42,0.86
172,Isaiah Roby,8.8,5.6,1.8,0.48,0.74
173,Daniel Gafford,7.0,4.3,0.5,0.69,0.67
174,Josh Hart,9.2,8.0,2.3,0.44,0.78
175,DeAndre Jordan,7.5,7.5,1.6,0.76,0.50
176,Maxi Kleber,7.1,5.2,1.4,0.42,0.92
177,Steven Adams,7.6,8.9,1.9,0.61,0.44
178,D'Angelo Russell,19.0,2.6,5.8,0.43,0.77
179,Xavier Tillman,6.6,4.3,1.3,0.56,0.64
180,Juan Toscano-Anderson,5.7,4.4,2.8,0.58,0.71
181,Immanuel Quickley,11.4,2.1,2.0,0.39,0.89
182,Shake Milton,13.0,2.3,3.1,0.45,0.83
183,Andre Iguodala,4.4,3.5,2.3,0.38,0.66
184,Tomas Satoransky,7.7,2.4,4.7,0.52,0.85
185,Talen Horton-Tucker,9.0,2.6,2.8,0.46,0.78
186,Malik Beasley,19.6,4.4,2.4,0.44,0.85
187,Jaxson Hayes,7.5,4.3,0.6,0.63,0.78
188,Robin Lopez,9.0,3.8,0.8,0.63,0.72